date,Bitcoin,Ethereum
2022-11-24,318949911014.53784,145091739838.44122
2022-11-25,317919884011.3825,144810246844.91675
2022-11-26,316206865319.883,145222050633.46432
2022-11-27,316487666895.4407,144507830172.60718
2022-11-28,311810991501.448,141048501904.6694
2022-11-29,316170903326.0224,146749281622.5983
2022-11-30,330763402606.7043,156777674228.40683
2022-12-01,326141917292.63745,153787135286.89285
2022-12-02,328178365692.1309,155766037022.93884
2022-12-03,326498242602.6305,150322759022.75156
2022-12-04,329544949093.6664,154484879835.4558
2022-12-05,326635737516.3175,151960138515.5798
2022-12-06,328108161816.87274,153112232020.5009
2022-12-07,324178677956.7833,148778387852.61035
2022-12-08,331389860355.59094,154438830699.8818
2022-12-09,329756788298.6587,152405570526.73016
2022-12-10,329283186564.5152,152480155389.30975
2022-12-11,328868814164.99066,152290250844.83786
2022-12-12,330715694645.24335,153743004467.3702
2022-12-13,342102502914.68976,159205793114.4748
2022-12-14,342692750075.4062,157633274799.26862
2022-12-15,333854506370.7365,152444818382.92126
2022-12-16,318992400741.96515,140289330990.1754
2022-12-17,323096167353.6004,143321475845.90793
2022-12-18,322740705484.67255,143142028259.18048
2022-12-19,316270478163.65466,140848456817.4131
2022-12-20,325120443529.51874,146802833364.30045
2022-12-21,323127932459.19025,146039250786.06482
2022-12-22,323519254392.6745,146741009624.09518
2022-12-23,323013370317.24255,147069822795.65387
2022-12-24,324072643385.91296,147173116811.52798
2022-12-25,323868581953.1157,146840669268.71204
2022-12-26,325036912914.6697,147697269147.94653
2022-12-27,321351469136.8621,146030514727.00162
2022-12-28,318288869204.81464,143241827136.73636
2022-12-29,320297298175.87695,144831301452.10547
2022-12-30,319722045805.09534,144611517916.40677
2022-12-31,318278329991.7019,144188788703.97467
2023-01-01,319832024054.6308,144712215098.15164
2023-01-02,321486454934.26776,146443084804.90094
2023-01-03,321080820418.18396,146422424046.4976
2023-01-04,324397588037.39484,151322902029.0838
2023-01-05,324138957221.0557,150805231900.39493
2023-01-06,326571439011.6566,153115414332.1746
2023-01-07,326371741274.41095,152351777734.96948
2023-01-08,328470896861.37854,154857941332.0086
2023-01-09,331158152699.25574,159397504473.27673
2023-01-10,335743942932.3494,160999220384.61914
2023-01-11,345688973386.69006,167839113151.03107
2023-01-12,363381125082.7658,170890542806.26074
2023-01-13,382675302196.4898,174798760594.58777
2023-01-14,405209898132.0056,187276048380.94897
2023-01-15,401697403586.5178,186901700956.48312
2023-01-16,407760358639.0028,190122961411.69482
2023-01-17,407405144842.9396,188982728685.09735
2023-01-18,399349603616.14526,183517931282.58932
2023-01-19,406258441952.3726,186967330908.32364
2023-01-20,436724993652.4275,200011161010.51965
2023-01-21,438578588179.0604,195908718395.08084
2023-01-22,438060367560.3554,196512572594.40756
