date,Goldfinch,Centrifuge,Credix
2022-03-05,21621464.16833,3442923.3414,
2022-03-06,21259673.27642,3534073.46201,
2022-03-07,21237477.54977,3490604.97699,
2022-03-08,21198387.18287,3087238.2673,
2022-03-09,22816105.5182,2992178.8428,
2022-03-10,22731569.28482,2991167.45398,
2022-03-11,27870245.24482,3823963.92846,
2022-03-12,28176079.32087,3823963.92846,
2022-03-13,28191594.94756,3842799.61466,
2022-03-14,39619823.73362,3879809.57395,
2022-03-15,39572870.43196,3288501.49558,
2022-03-16,40514539.32436,3382327.60311,
2022-03-17,42562855.41461,3290939.7515,
2022-03-18,37555552.17167,3391051.91149,
2022-03-19,37284773.83476,3290130.84399,
2022-03-20,27159394.28238,3291404.61757,
2022-03-21,26938330.67624,3291035.98026,
2022-03-22,27079769.77226,5166454.21273,
2022-03-23,26802073.40577,5159558.72539,
2022-03-24,29681987.07677,5088350.66566,
2022-03-25,29630904.49307,5088997.67879,
2022-03-26,29746531.27583,5092390.67675,
2022-03-27,29731620.18037,5083602.50635,
2022-03-28,29698796.51762,6191874.91573,
2022-03-29,29738813.34612,6200302.7392,
2022-03-30,29980926.7966,6202809.91796,
2022-03-31,30121750.00323,5799896.06576,
2022-04-01,29819962.05544,5907202.56119,
2022-04-02,29660176.73746,5788058.95253,
2022-04-03,29564713.05691,5787433.81404,
2022-04-04,29881845.61025,5785980.98166,
2022-04-05,29869167.7595,5783059.50136,
2022-04-06,29955311.28753,5779321.35717,
2022-04-07,31557568.1691,5823463.82082,
2022-04-08,31645101.79375,7834022.5032,
2022-04-09,28549817.1698,7873320.95683,
2022-04-10,28707018.45758,7873320.95683,
2022-04-11,28750336.3344,7809482.16439,
2022-04-12,18851261.06274,8429452.78759,
2022-04-13,19890655.66642,8877501.37762,
2022-04-14,20037012.97151,8959432.12938,
2022-04-15,20941250.16132,8959432.12938,
2022-04-16,20578060.99176,8950481.64774,
2022-04-17,20603050.36188,8950481.64774,
2022-04-18,21518309.28637,9044762.05133,
2022-04-19,21433875.39839,8125477.32431,
2022-04-20,21548105.98534,7748760.62632,
2022-04-21,22234877.42982,7834198.64547,
2022-04-22,22215894.60393,7840469.13765,
2022-04-23,22301797.21927,7740369.13765,
2022-04-24,22590851.61372,7810262.86541,
2022-04-25,22714881.77555,7808497.746,
2022-04-26,13370283.73556,7810272.89905,
2022-04-27,13310050.56152,8006141.68398,
2022-04-28,13310634.87088,7792855.36503,
2022-04-29,13487188.55574,7350756.41185,
2022-04-30,13473376.75261,7365457.92467,
2022-05-01,13202551.25658,7358107.16826,
2022-05-02,13154868.43322,7346897.26473,
2022-05-03,13808663.39659,7339865.74506,
2022-05-04,15815330.19148,7308260.2368,
2022-05-05,15818150.01702,3551162.21918,
2022-05-06,17901982.72099,2869505.4647,
2022-05-07,18877999.29208,2757443.6394,
2022-05-08,19893245.63922,3604293.79522,
2022-05-09,19450521.85575,3679925.93068,
2022-05-10,20127597.45931,3571236.89331,
2022-05-11,2809803.31623,3655379.37708,
2022-05-12,1938399.56888,3655006.24369,
2022-05-13,1925075.88282,3276951.50802,
2022-05-14,1938716.57866,2563346.74311,
2022-05-15,1935501.37997,2557797.94163,
2022-05-16,1928807.849,2553062.11751,
2022-05-17,1945582.78134,2553062.11751,
2022-05-18,1888008.70943,2565086.11751,
2022-05-19,1911568.7229,2628269.03475,
2022-05-20,1941992.21965,2621929.23553,
2022-05-21,1901867.66072,2584085.10156,
2022-05-22,2034353.88394,2578932.3895,
2022-05-23,1926845.10036,2566599.80705,
2022-05-24,1925402.05605,2564038.33019,
2022-05-25,1920414.35708,2564038.33019,3933289.37893
2022-05-26,1949826.84194,2566599.80705,3929363.94043
2022-05-27,1967621.08953,2564038.33019,3933289.37893
2022-05-28,1972787.64873,2566599.80705,3933289.37893
2022-05-29,1972988.23779,2566599.80705,3929363.94043
2022-05-30,2012891.73711,2561476.85334,3925438.50193
2022-05-31,1906673.14188,2564038.33019,4675438.50193
2022-06-01,2036545.86124,2569161.2839,4684789.37893
2022-06-02,2041170.75452,2560073.16402,1672360.7214
2022-06-03,2345487.88503,2566599.80705,1677113.94043
2022-06-04,2345487.88087,2566599.80705,1975438.50193
2022-06-05,2343775.6091,2564038.33019,1977413.94043
2022-06-06,2403631.20277,2574284.23761,1989263.44244
2022-06-07,2711897.23372,2559622.3441,2019080.56543
2022-06-08,2688596.85731,2561476.85334,17063.50193
2022-06-09,2561391.7609,2564038.33019,5016105.2428
2022-06-10,2074420.43036,2585297.12705,5017063.50193
2022-06-11,2068935.84419,2585297.12705,5017063.50193
2022-06-12,2076026.42433,2595617.67446,5022080.56543
2022-06-13,2068782.18951,2585297.12705,19371.44244
2022-06-14,2116347.64112,3545649.84638,19352.12893
2022-06-15,2075334.29153,3535044.71224,30031.00293
2022-06-16,2054606.07676,3538579.75696,30031.00293
2022-06-17,2043031.17762,3534641.71715,29999.59188
2022-06-18,2043525.27968,3538579.75696,30001.00193
2022-06-19,2069191.29429,3535044.71224,29995.81176
2022-06-20,2035023.7964,3516950.30441,29974.51105
2022-06-21,2058325.69474,3527490.61502,29986.57145
2022-06-22,2038055.53397,2558454.8113,35604.73321
2022-06-23,2040329.20292,2561087.53765,35626.00193
2022-06-24,2092642.40579,2563646.06666,35661.62793
2022-06-25,2118244.19233,2561087.53765,35661.62793
2022-06-26,1813003.43872,2558529.00864,35626.00193
2022-06-27,1813103.52944,2568763.12468,35732.87994
2022-06-28,1811198.07662,4166512.48545,35695.63483
2022-06-29,1799393.15755,4405146.22027,35761.72793
2022-06-30,1802987.7105,4400749.86676,35380.35286
2022-07-01,1786192.44777,4443408.28647,69823.38194
2022-07-02,1739237.69358,4405146.22027,69545.47793
2022-07-03,1736396.21338,4409542.57378,69545.47793
2022-07-04,1733888.55263,4396353.51324,71726.00193
2022-07-05,1778234.5095,4388189.48477,105428.43225
2022-07-06,1776951.70317,4443792.72748,8351.00193
2022-07-07,1728367.3829,4396353.51324,8251.00193
2022-07-08,1726639.80052,4401737.18367,29338.76095
2022-07-09,1722279.72115,4406138.92085,29280.25894
2022-07-10,1741868.48235,4414942.39522,29240.38982
2022-07-11,1732959.91411,4406138.92085,29251.00793
2022-07-12,1722930.70203,3701329.83056,29194.963
2022-07-13,1749069.21172,3701329.83056,91126.00793
2022-07-14,1748662.03088,3704171.65839,91126.00793
2022-07-15,1837407.91252,3700474.88029,101915.32144
2022-07-16,1802611.61142,3693236.58876,101813.50793
2022-07-17,1804464.49776,3692120.16178,101792.33072
2022-07-18,1814223.33543,3707139.7272,102118.94845
2022-07-19,1967558.23143,3731408.7205,102017.13495
2022-07-20,1905079.89691,3731846.45862,106800.04943
2022-07-21,1899624.29244,3722739.83938,106688.00206
2022-07-22,1903930.22833,3728699.7991,106920.32144
2022-07-23,1891533.02839,3724591.15187,106920.32144
2022-07-24,1973817.90684,3736149.74875,107133.94845
2022-07-25,1971473.38697,3724833.27523,107027.13495
2022-07-26,1953331.88842,3728699.7991,106920.32144
2022-07-27,1950845.37235,3723633.83334,106794.60194
2022-07-28,1950538.90822,3718783.91612,106704.87859
2022-07-29,1955634.63706,3716820.85438,106651.79228
2022-07-30,1951242.78905,3723421.50977,106920.32144
2022-07-31,1946435.42611,3728699.7991,107027.13495
2022-08-01,1950099.84096,3728699.7991,140844.63495
2022-08-02,1793492.76732,3720597.97886,140844.63495
2022-08-03,1722347.13261,4407139.48901,160201.04894
2022-08-04,1760333.77846,4464425.87754,193984.79894
2022-08-05,1704910.15991,3782544.05918,214704.65895
2022-08-06,1632371.57409,3783369.55192,214771.45895
2022-08-07,1629720.62537,3782256.27272,214683.60943
2022-08-08,1631863.36639,3794237.27746,215005.79594
2022-08-09,1643136.73368,3794237.27746,215220.58694
2022-08-10,1650097.02375,4151879.1527,16073.08694
2022-08-11,1643051.90381,4143591.96876,16057.04594
2022-08-12,1637986.79513,4138777.1149,82978.50493
2022-08-13,1642030.46283,4147735.56073,83061.48344
2022-08-14,1615910.74337,4147735.56073,83061.48344
2022-08-15,1676115.10434,4143591.96876,7978.50493
2022-08-16,1670125.42796,4147735.56073,19247.73344
2022-08-17,1645491.86128,4147735.56073,19247.73344
2022-08-18,1661465.77459,4112962.55205,28654.63094
2022-08-19,1688751.84341,4119085.62839,3633.25694
2022-08-20,1684838.82139,4112485.21546,3629.63094
2022-08-21,1685371.09334,4123200.59905,3636.88295
2022-08-22,1650574.84354,4195986.42868,3629.63094
2022-08-23,1645816.01877,3591353.51324,3629.70374
2022-08-24,1659497.82639,3591152.39745,2202015.15432
2022-08-25,1684379.43977,3598536.22027,2210236.88295
2022-08-26,1685827.65084,3591353.51324,3640.50895
2022-08-27,1674897.70051,3594944.86676,3629.63094
2022-08-28,1665428.2958,3594944.86676,3629.63094
2022-08-29,1666507.97894,3644994.86676,3629.63094
2022-08-30,1595426.12133,3589848.73612,3626.00493
2022-08-31,1615287.19605,3587589.77476,37317.21248
2022-09-01,1591908.41125,3590714.25232,4376.00493
2022-09-02,1589432.5912,3591353.51324,23877.35844
2022-09-03,1590644.5412,3591353.51324,23877.35844
2022-09-04,1590381.23882,3594944.86676,23877.35844
2022-09-05,1596077.81458,3594944.86676,190795.10944
2022-09-06,1580624.21882,3591353.51324,211596.67257
2022-09-07,1602501.97627,3594944.86676,211604.50194
2022-09-08,1599703.77086,3724202.23758,180541.31436
2022-09-09,1602443.22387,3775003.11324,2613.56436
2022-09-10,1596839.87712,3770488.20952,2613.56436
2022-09-11,1592017.83846,3770359.85942,2613.56436
2022-09-12,1596075.02773,3792071.96566,2607.70016
2022-09-13,1589033.48637,3742845.64779,13289.23758
2022-09-14,1587565.01773,4107443.71284,13311.75186
2022-09-15,1633380.8021,,13280.95264
2022-09-16,1658210.39144,,22695.95341
2022-09-17,1641431.70964,,22718.64936
2022-09-18,1599072.51239,,22695.95341
2022-09-19,1572437.23803,,22718.64936
2022-09-20,1529306.57855,,22681.54148
2022-09-21,1528473.39478,4844610.47247,22718.64936
2022-09-22,1526195.27996,4849450.24317,22695.95341
2022-09-23,1577289.02718,4844610.47247,22695.95341
2022-09-24,1558317.7143,4837757.35715,44532.55358
2022-09-25,1562253.45601,4854290.01387,44621.61869
2022-09-26,1558034.69208,4832554.60365,44419.84169
2022-09-27,1533650.65311,4849450.24317,44621.61869
2022-09-28,1582577.15477,5010515.80201,44622.62069
2022-09-29,1558313.25389,8125618.50478,44577.98703
2022-09-30,826882.92476,6706488.56098,78361.73703
2022-10-01,790939.08736,6170280.52693,78392.26753
2022-10-02,785886.47798,6157964.59774,13810.79962
2022-10-03,775230.1593,5495835.46482,33321.52983
2022-10-04,748383.29058,5263418.53488,13288.24158
2022-10-05,746626.36685,5294331.10696,13314.81807
2022-10-06,742326.3446,5267991.1512,103391.53984
2022-10-07,764342.2856,5664649.32163,109542.35408
2022-10-08,759053.18464,5673689.8164,109665.60464
2022-10-09,757878.34335,5657603.97054,109366.40707
2022-10-10,760448.86499,5444830.03487,113352.04859
2022-10-11,784944.67259,4600925.92134,172583.39511
2022-10-12,777269.58473,4298866.50706,172584.26281
2022-10-13,772581.14978,4301941.53848,193552.87842
2022-10-14,813328.5519,4303000.621,199183.50342
2022-10-15,812955.40162,4302871.46459,198984.5189
2022-10-16,811096.79263,4301480.88063,198779.56485
2022-10-17,836569.46476,4202303.60624,210061.80772
