date,ethereum_compound,total_fees
2020-11-08,13351.015181668587,13351.015181668587
2020-11-09,13444.398443888373,13444.398443888373
2020-11-10,14071.86056602768,14071.86056602768
2020-11-11,15649.224238476514,15649.224238476514
2020-11-12,15707.981942537766,15707.981942537766
2020-11-13,14714.286212187519,14714.286212187519
2020-11-14,14587.593237203157,14587.593237203157
2020-11-15,13913.855688823482,13913.855688823482
2020-11-16,13991.078378566512,13991.078378566512
2020-11-17,16417.299345775526,16417.299345775526
2020-11-18,17231.772209168583,17231.772209168583
2020-11-19,16400.3683032854,16400.3683032854
2020-11-20,17823.92309646385,17823.92309646385
2020-11-21,20041.29308683207,20041.29308683207
2020-11-22,18062.355190885348,18062.355190885348
2020-11-23,19375.51478147491,19375.51478147491
2020-11-24,19160.835554865207,19160.835554865207
2020-11-25,15990.931208474878,15990.931208474878
2020-11-26,12992.400474244427,12992.400474244427
2020-11-27,15404.111787207277,15404.111787207277
2020-11-28,15516.535221478567,15516.535221478567
2020-11-29,15921.08611457995,15921.08611457995
2020-11-30,17934.44684569582,17934.44684569582
2020-12-01,15946.548738921283,15946.548738921283
2020-12-02,17206.083859415856,17206.083859415856
2020-12-03,16156.853169339603,16156.853169339603
2020-12-04,15681.24141063367,15681.24141063367
2020-12-05,15899.743981383526,15899.743981383526
2020-12-06,15297.180605963918,15297.180605963918
2020-12-07,15585.85238097641,15585.85238097641
2020-12-08,15221.189760501935,15221.189760501935
2020-12-09,15142.806786875728,15142.806786875728
2020-12-10,15113.513174396814,15113.513174396814
2020-12-11,21058.079411724564,21058.079411724564
2020-12-12,29755.606677972235,29755.606677972235
2020-12-13,30706.52465770471,30706.52465770471
2020-12-14,32541.991079452415,32541.991079452415
2020-12-15,34738.187037225594,34738.187037225594
2020-12-16,36377.43956016654,36377.43956016654
2020-12-17,41250.84161020399,41250.84161020399
2020-12-18,42395.66132303312,42395.66132303312
2020-12-19,40492.893929977865,40492.893929977865
2020-12-20,42344.30690553487,42344.30690553487
2020-12-21,40500.990481094035,40500.990481094035
2020-12-22,43644.43481878586,43644.43481878586
2020-12-23,44479.98399890944,44479.98399890944
2020-12-24,47007.76136183378,47007.76136183378
2020-12-25,46862.92206147367,46862.92206147367
2020-12-26,53003.40010943648,53003.40010943648
2020-12-27,55908.58898021176,55908.58898021176
2020-12-28,51958.91186056725,51958.91186056725
2020-12-29,65145.99189364759,65145.99189364759
2020-12-30,76811.15741681312,76811.15741681312
2020-12-31,79030.21803276493,79030.21803276493
2021-01-01,80446.78399854696,80446.78399854696
2021-01-02,73291.70179741818,73291.70179741818
2021-01-03,56718.530278013495,56718.530278013495
2021-01-04,44517.30240812061,44517.30240812061
2021-01-05,49923.98542950462,49923.98542950462
2021-01-06,56039.3709630689,56039.3709630689
