date,avax_AAVE V2,avax_AAVE V3,ethereum_AAVE V2,ethereum_AAVE V3,fantom_AAVE V2,fantom_AAVE V3,harmony_AAVE V2,harmony_AAVE V3,optimism_AAVE V2,optimism_AAVE V3,polygon_AAVE V2,polygon_AAVE V3,total_fees
2022-08-01,1493.7817399306514,123667.44768327451,504713.2914327737,0,0,213.614900912292,0,0,0,331.75291784223776,5609.937748371472,2006.787203050288,638036.6136261551
2022-08-02,1958.8277571560104,113910.26125452555,327935.81511412427,0,0,296.2126758089702,0,0,0,239.71795938059836,6089.051176902696,2176.0292455286994,452605.9151834268
2022-08-03,1192.8325491193243,105810.00766868072,470228.4932909816,0,0,360.1879018870276,0,0,0,394.76714303087425,5798.110753823091,2079.595977912026,585863.9952854348
2022-08-04,1545.1056117086614,94110.90143446292,369439.1977906118,0,0,195.97390452629975,0,0,0,33733.2402395606,5875.139887771214,1989.5794049955355,506889.13827363704
2022-08-05,1352.3549668621993,92648.78064273705,416631.9422143055,0,0,188.87438135800093,0,11.96640511865,0,108446.70873066684,5762.6906893505875,2017.2950564152932,627060.6130868142
2022-08-06,1443.425503583903,111244.5294421325,598214.5516623554,0,0,197.5931915920935,0,0.0731626102258,0,130228.29848795634,5710.695934053331,1648.791083028929,848687.9584673126
2022-08-07,1288.9341028433046,135597.42267631658,558040.7393777323,0,0,204.0961885430071,0,0,0,128421.2182226845,5906.119927285988,1774.4737125881165,831233.0042079937
2022-08-08,1779.6338383500445,106891.50629924118,741480.6010750327,0,0,261.6549678411527,0,0,0,135335.48142398964,6411.941188865565,2274.14073457563,994434.959527896
2022-08-09,1199.0355140876077,105244.97431591837,645427.4472002302,0,0,212.8856340776943,0,0,0,145243.99298760618,6199.169823638674,2336.4730201762895,905863.9784957351
2022-08-10,1261.0814649224105,108133.79439874996,649894.144176412,0,0,305.9079896366772,0,0,0,132738.4806985336,8233.244330365915,2248.932638064047,902815.5856966845
2022-08-11,1371.8047160784001,110624.44424586263,827885.1084559698,0,0,310.6283545197046,0,0,0,129205.78888315997,5953.9475985456675,2352.0047026442026,1077703.7269567803
2022-08-12,1315.6289621322255,108579.73957884112,809628.4184352336,0,0,242.5319446661833,0,0,0,127400.46748020858,5404.105125514132,2373.5678853102595,1054944.459411906
2022-08-13,1670.9077019980919,112911.67476611272,990884.3036093529,0,0,246.34361408211942,0,4.267319723182868,0,127613.34571739,6734.336334121542,5785.510138405853,1245850.6892011866
2022-08-14,1403.2638766315936,113839.0413732053,738766.0598888567,0,0,235.321084628799,0,0.0002472215492724,0,126240.72459146024,10187.674071549487,5212.519919059953,995884.6050526135
2022-08-15,1348.7570968574819,125778.56900982081,813277.1239280764,0,0,179.6940691579719,0,0.0007248079200000001,0,123783.85318125073,12881.737256918943,5075.249138549217,1082324.9844054396
2022-08-16,1278.4997894940207,123180.42050992337,772643.3886799287,0,0,202.88570221641754,0,0.0007186239351762,0,119058.58071879078,13776.800352243072,5415.450175487947,1035556.0266467083
2022-08-17,1283.9287050795917,99013.84965130339,749439.077829232,0,0,184.00884061808796,0,0,0,113267.30282415415,11316.770436592255,6371.003748013116,980875.9420349925
