date,volume
2021-10-02,619877970.075905
2021-10-03,572202521.5577892
2021-10-04,552857274.9469894
2021-10-05,473599827.9862054
2021-10-06,1050851734.4634366
2021-10-07,1232709763.0041318
2021-10-08,685101613.1779168
2021-10-09,813570086.7599723
2021-10-10,554398105.4188554
2021-10-11,711762790.5702566
2021-10-12,587692080.0425807
2021-10-13,1141346693.4972405
2021-10-14,845721054.56435
2021-10-15,859944687.4426911
2021-10-16,1608571226.0818582
2021-10-17,1028900475.1751099
2021-10-18,857537863.3014846
2021-10-19,532204363.97272587
2021-10-20,742091570.1181654
2021-10-21,827412487.734427
2021-10-22,554951886.8014292
2021-10-23,411833729.1011585
2021-10-24,527744210.95953
2021-10-25,471587486.79182833
2021-10-26,500411775.8473511
2021-10-27,890176689.9640685
2021-10-28,777574483.0370373
2021-10-29,587378533.7413518
2021-10-30,557893950.1612475
2021-10-31,1038978042.4907794
2021-11-01,564666669.5826565
2021-11-02,568619830.8145078
2021-11-03,910610084.657063
2021-11-04,563294070.4193883
2021-11-05,465838404.2017233
2021-11-06,431334599.13690734
2021-11-07,380616425.460519
2021-11-08,598363973.3904947
2021-11-09,1265274307.3818574
2021-11-10,1694234102.8319378
2021-11-11,944206748.8211703
2021-11-12,720333015.6677583
2021-11-13,441641261.8963857
2021-11-14,404600332.52725625
2021-11-15,573994923.5271741
2021-11-16,815541021.456526
2021-11-17,589982248.4849567
2021-11-18,717422943.2562068
2021-11-19,597707338.899586
2021-11-20,451958123.82658315
2021-11-21,383962921.0577872
2021-11-22,638715446.701589
2021-11-23,543797936.434927
2021-11-24,480545179.18408555
2021-11-25,495686121.89188373
2021-11-26,929261693.7962999
2021-11-27,467221217.35682744
2021-11-28,501478419.7555437
2021-11-29,447000238.7293518
2021-11-30,648967329.1296142
2021-12-01,461298514.7973704
2021-12-02,436521175.86557835
2021-12-03,1153941727.2756834
2021-12-04,1401405673.145504
2021-12-05,813573868.1730232
2021-12-06,1062124001.003789
2021-12-07,599275850.2772565
2021-12-08,702627529.92256
2021-12-09,501546360.2875277
2021-12-10,412746544.81557226
2021-12-11,375639147.5877244
2021-12-12,281044512.8810236
2021-12-13,341023156.2177772
2021-12-14,523007100.088639
2021-12-15,482195979.2058536
2021-12-16,364092841.88762134
2021-12-17,389034787.7203535
2021-12-18,360746457.45623577
2021-12-19,325117928.6692843
2021-12-20,682003759.3928503
2021-12-21,436071565.57552826
2021-12-22,391987838.895629
2021-12-23,442640989.11182714
2021-12-24,323963102.31046087
2021-12-25,321006657.6573448
2021-12-26,250277497.65147996
2021-12-27,283126944.0621568
2021-12-28,410192996.6164791
2021-12-29,325126259.27367574
2021-12-30,303314328.5012178
2021-12-31,297358661.05127746
2022-01-01,234680863.52369845
2022-01-02,290640770.3403833
2022-01-03,381291272.32479686
2022-01-04,315938324.6238018
2022-01-05,442675870.1620167
2022-01-06,398545559.7030122
2022-01-07,414731377.390955
2022-01-08,437009534.04891837
2022-01-09,229072102.9090221
2022-01-10,398798735.2129234
2022-01-11,335050115.71646285
2022-01-12,531326540.73272836
2022-01-13,405090149.54285526
2022-01-14,518939776.57816195
2022-01-15,418226826.3355049
2022-01-16,233401450.19866094
2022-01-17,298692610.15358317
2022-01-18,317513195.67057997
2022-01-19,270217660.2270149
2022-01-20,304002173.45175683
2022-01-21,596248242.2937951
2022-01-22,681513975.5586332
2022-01-23,379496006.81999665
2022-01-24,502395542.97836185
2022-01-25,327200545.28624886
2022-01-26,364686515.8994108
2022-01-27,254230702.32698092
2022-01-28,204101241.06639403
2022-01-29,167441245.75483775
2022-01-30,157832355.19517243
2022-01-31,209411451.06739408
2022-02-01,257352646.78821793
2022-02-02,231662963.536145
2022-02-03,199477298.9214934
2022-02-04,237158695.55385488
2022-02-05,211803718.28265634
2022-02-06,226063581.8145145
2022-02-07,477807960.4256352
2022-02-08,622381384.2188607
2022-02-09,335983221.7303455
2022-02-10,324907637.1518019
2022-02-11,273156292.4249469
2022-02-12,223347822.40045464
2022-02-13,196375581.84107706
2022-02-14,228198884.88103196
2022-02-15,252347713.08170414
2022-02-16,245790565.73587793
2022-02-17,295589367.0132849
2022-02-18,251823426.00575265
2022-02-19,289243806.8329778
2022-02-20,257538008.59562778
2022-02-21,348829470.9671124
2022-02-22,300042321.14565533
2022-02-23,227548242.51820573
2022-02-24,522658864.7869811
2022-02-25,254861804.6167531
2022-02-26,226973938.57568553
2022-02-27,200729306.80167973
2022-02-28,298013360.7263095
2022-03-01,305368482.23414356
2022-03-02,234077988.14974567
2022-03-03,197338243.18767047
2022-03-04,222873116.2765508
2022-03-05,192251975.168591
2022-03-06,167804879.15626448
2022-03-07,254848234.35034823
2022-03-08,240647613.79696757
2022-03-09,329776541.81573534
2022-03-10,394320591.4006912
2022-03-11,363488997.89111805
2022-03-12,241408611.0051353
2022-03-13,201132835.17266658
2022-03-14,243798135.5762857
2022-03-15,221924288.65133426
2022-03-16,262976073.13554013
2022-03-17,197879858.66802946
2022-03-18,199279402.68294716
2022-03-19,195172083.1874078
2022-03-20,210189508.52455485
2022-03-21,252956044.5260757
2022-03-22,306786972.7260408
2022-03-23,247649701.26836443
2022-03-24,281651985.1331245
2022-03-25,317347904.3200805
2022-03-26,169756049.2691592
2022-03-27,373990245.4156946
2022-03-28,492509538.00423485
2022-03-29,402182523.5710041
2022-03-30,362014028.68767196
2022-03-31,451988004.3839199
2022-04-01,367736309.8005897
2022-04-02,301737861.1986796
2022-04-03,228344763.0478437
2022-04-04,303639996.36182994
2022-04-05,251659914.41431463
2022-04-06,347603795.3193153
2022-04-07,263242027.3596709
2022-04-08,250786739.6926719
2022-04-09,170909339.5094365
2022-04-10,164401289.0062895
2022-04-11,294919460.7506573
2022-04-12,240400290.65835413
2022-04-13,235556272.55227244
2022-04-14,264322271.5867188
2022-04-15,430515027.7398012
2022-04-16,183101562.01348752
2022-04-17,230342230.4036306
2022-04-18,303368321.0647589
2022-04-19,257199195.0732345
2022-04-20,302052004.60641116
2022-04-21,325717375.9085486
2022-04-22,268697545.41891766
2022-04-23,173725900.57976127
2022-04-24,179069762.47277397
2022-04-25,298786068.0302846
2022-04-26,237519734.9937758
2022-04-27,237037938.13246754
2022-04-28,229413242.42104214
2022-04-29,213581702.380747
2022-04-30,204694821.20268792
2022-05-01,194068234.7011477
2022-05-02,197107824.14347106
2022-05-03,185457673.72591525
2022-05-04,257436130.4224208
2022-05-05,262343013.62174898
2022-05-06,245526027.84958702
2022-05-07,207959446.79964942
2022-05-08,214299901.31835097
2022-05-09,373863427.6518224
2022-05-10,494563869.3251243
2022-05-11,623356386.7743895
2022-05-12,527250061.3645511
2022-05-13,248478655.02701935
2022-05-14,230850704.6149049
2022-05-15,188870740.01520866
2022-05-16,190305840.8998036
2022-05-17,186463823.04756397
2022-05-18,163035335.1097944
2022-05-19,177324842.06157658
2022-05-20,165771730.04273704
2022-05-21,132801824.1054545
2022-05-22,143152476.065091
2022-05-23,154300273.86350465
2022-05-24,148782723.98131272
2022-05-25,150910025.0524233
2022-05-26,190361289.13462344
2022-05-27,180167166.9857628
2022-05-28,142198866.06076452
2022-05-29,206591775.8482167
2022-05-30,235941127.6812233
2022-05-31,335430663.6492472
2022-06-01,224057325.57083374
2022-06-02,192908182.1893022
2022-06-03,254994166.6831713
2022-06-04,184950733.5709273
2022-06-05,145657591.66143563
2022-06-06,181926106.44301856
2022-06-07,173225387.9478418
2022-06-08,140703115.93534753
2022-06-09,91223471.30160666
2022-06-10,139877503.78227964
2022-06-11,142441027.34059832
2022-06-12,146205584.7441056
2022-06-13,262892604.55031532
2022-06-14,221464564.54896605
2022-06-15,239197235.1446996
2022-06-16,161420338.54613128
2022-06-17,147501862.95384187
2022-06-18,158206326.09874958
2022-06-19,190713221.89242572
2022-06-20,146345705.05661502
2022-06-21,157816088.87447232
2022-06-22,145652745.47634712
2022-06-23,144079127.16836023
2022-06-24,186774307.89730972
2022-06-25,120964400.43961942
2022-06-26,112576365.59057643
2022-06-27,124341823.24201365
2022-06-28,129562460.2968377
2022-06-29,148608138.92319268
2022-06-30,178589241.97892782
2022-07-01,150780829.26625615
2022-07-02,136598865.36219195
2022-07-03,115531678.86225408
2022-07-04,125568304.96698366
2022-07-05,144080541.90354207
2022-07-06,128513924.09822658
2022-07-07,128944338.1967471
2022-07-08,162258839.18498176
