Date,goldfinch-borrowed,goldfinch-Ethereum-borrowed,goldfinch-Ethereum
2022-08-04,100379096.13911,100379096.13911,1722347.13261
2022-08-05,100387860.12071,100387860.12071,1760333.77846
2022-08-06,100159405.03044,100159405.03044,1704910.15991
2022-08-07,100386831.76796,100386831.76796,1632371.57409
2022-08-08,100227677.02069,100227677.02069,1629720.62537
2022-08-09,100386831.76796,100386831.76796,1631863.36639
2022-08-10,100482904.39545,100482904.39545,1643136.73368
2022-08-11,100472896.41149,100472896.41149,1650097.02375
2022-08-12,100372574.00978,100372574.00978,1643051.90381
2022-08-13,100210935.05943,100210935.05943,1637986.79513
2022-08-14,100472846.31149,100472846.31149,1642030.46283
2022-08-15,100357554.26326,100357554.26326,1615910.74337
2022-08-16,100357554.26073,100357554.26073,1676115.10434
2022-08-17,100467834.55747,100467834.55747,1670125.42796
2022-08-18,100367567.25752,100367567.25752,1645491.86128
2022-08-19,100267299.28294,100267299.28294,1661465.77459
2022-08-20,100367506.52019,100367506.52019,1688751.84341
2022-08-21,100367506.52019,100367506.52019,1684838.82139
2022-08-22,100467773.75947,100467773.75947,1685371.09334
2022-08-23,100160438.25625,100160438.25625,1650574.84354
2022-08-24,100082202.06773,100082202.06773,1645816.01877
2022-08-25,100166289.71661,100166289.71661,1659497.82639
2022-08-26,100392623.97809,100392623.97809,1684379.43977
2022-08-27,100492962.65559,100492962.65559,1685827.65084
2022-08-28,100293635.54203,100293635.54203,1674897.70051
2022-08-29,100193442.09993,100193442.09993,1665428.2958
2022-08-30,100295636.33846,100295636.33846,1666507.97894
2022-08-31,100189729.75572,100189729.75572,1595426.12133
2022-09-01,100003894.47827,100003894.47827,1615287.19605
2022-09-02,100184268.38174,100184268.38174,1591908.41125
2022-09-03,100197726.57075,100197726.57075,1589432.5912
2022-09-04,100199726.57075,100199726.57075,1590644.5412
2022-09-05,100199799.81574,100199799.81574,1590381.23882
2022-09-06,100600609.05501,100600609.05501,1596077.81458
2022-09-07,100190983.59574,100190983.59574,1580624.21882
2022-09-08,100292255.12205,100292255.12205,1602501.97627
2022-09-09,100293256.12205,100293256.12205,1599703.77086
2022-09-10,100296042.15057,100296042.15057,1602443.22387
2022-09-11,100292225.33757,100292225.33757,1596839.87712
2022-09-12,100164164.33724,100164164.33724,1592017.83846
2022-09-13,100192017.71051,100192017.71051,1596075.02773
2022-09-14,100076095.54602,100076095.54602,1589033.48637
2022-09-15,100191938.24051,100191938.24051,1587565.01773
2022-09-16,100080319.81509,100080319.81509,1633380.8021
2022-09-17,100180922.18096,100180922.18096,1658210.39144
2022-09-18,100300940.55424,100300940.55424,1641431.70964
2022-09-19,100058965.84353,100058965.84353,1599072.51239
2022-09-20,100162619.50526,100162619.50526,1572437.23803
2022-09-21,100071292.19722,100071292.19722,1529306.57855
2022-09-22,100263706.36277,100263706.36277,1528473.39478
2022-09-23,100262267.58645,100262267.58645,1526195.27996
2022-09-24,100262267.56548,100262267.56548,1577289.02718
2022-09-25,100137365.41997,100137365.41997,1558317.7143
2022-09-26,100462591.7764,100462591.7764,1562253.45601
2022-09-27,100262267.56548,100262267.56548,1558034.69208
2022-09-28,100262510.35861,100262510.35861,1533650.65311
2022-09-29,100462835.05041,100462835.05041,1582577.15477
2022-09-30,100162348.00638,100162348.00638,1558313.25389
2022-10-01,99536297.27989,99536297.27989,826882.92476
2022-10-02,99599372.71261,99599372.71261,790939.08736
2022-10-03,99397885.36552,99397885.36552,785886.47798
2022-10-04,99389654.91947,99389654.91947,775230.1593
2022-10-05,99296213.64167,99296213.64167,748383.29058
2022-10-06,99283093.72533,99283093.72533,746626.36685
2022-10-07,99311737.3645,99311737.3645,742326.3446
2022-10-08,99644875.90239,99644875.90239,764342.2856
2022-10-09,99036953.93571,99036953.93571,759053.18464
2022-10-10,99092514.56622,99092514.56622,757878.34335
2022-10-11,99562203.5122,99562203.5122,760448.86499
2022-10-12,99331382.14847,99331382.14847,784944.67259
2022-10-13,99462840.02795,99462840.02795,777269.58473
2022-10-14,99561215.91325,99561215.91325,772581.14978
2022-10-15,99263625.25034,99263625.25034,813328.5519
2022-10-16,99307742.19632,99307742.19632,812955.40162
2022-10-17,99294325.07659,99294325.07659,811096.79263
2022-10-18,99459596.48736,99459596.48736,836569.46476
2022-10-19,99328739.0505,99328739.0505,841518.82527
2022-10-20,99857037.42662,99857037.42662,841022.86469
2022-10-21,99360236.24392,99360236.24392,869064.66678
2022-10-22,99459596.26092,99459596.26092,861142.55905
2022-10-23,99360236.0249,99360236.0249,856315.27678
2022-10-24,99320790.00342,99320790.00342,867648.96057
2022-10-25,99459596.25314,99459596.25314,867807.59467
2022-10-26,99360186.0057,99360186.0057,835627.31128
2022-10-27,99359697.38488,99359697.38488,871042.93114
2022-10-28,99459054.03074,99459054.03074,876325.42928
2022-10-29,99268856.22586,99268856.22586,856011.30423
2022-10-30,99359670.9651,99359670.9651,856375.16432
2022-10-31,99344722.78906,99344722.78906,849434.13009
2022-11-01,99286001.24943,99286001.24943,838612.44258
2022-11-02,99359626.63545,99359626.63545,836941.62432
2022-11-03,99359626.63545,99359626.63545,834680.94432
2022-11-04,99359626.63545,99359626.63545,833628.94432
2022-11-05,98496390.19925,98496390.19925,826337.10785
2022-11-06,99277158.14535,99277158.14535,815224.04629
2022-11-07,99551137.68108,99551137.68108,809349.48235
2022-11-08,99451784.72663,99451784.72663,825812.04773
2022-11-09,99351607.80422,99351607.80422,821955.12067
2022-11-10,99847360.84324,99847360.84324,823034.14793
2022-11-11,99847360.83545,99847360.83545,836139.51601
2022-11-12,99648657.60644,99648657.60644,832880.78677
2022-11-13,99306393.29585,99306393.29585,800391.87496
2022-11-14,99236549.82102,99236549.82102,795104.55881
2022-11-15,99350604.31206,99350604.31206,854755.25466
2022-11-16,99448953.91428,99448953.91428,867692.67455
2022-11-17,99349604.29811,99349604.29811,869943.32899
2022-11-18,99239723.63575,99239723.63575,864511.64044
2022-11-19,99548300.56716,99548300.56716,859988.51292
2022-11-20,99448950.9658,99448950.9658,859165.27595
2022-11-21,99448950.96429,99448950.96429,884280.95448
2022-11-22,99448933.19253,99448933.19253,880445.66991
2022-11-23,99547485.1759,99547485.1759,904876.5377
2022-11-24,99547485.16814,99547485.16814,928462.78216
2022-11-25,99447043.45218,99447043.45218,925917.21394
2022-11-26,99338655.11611,99338655.11611,924737.9938
2022-11-27,99447043.448,99447043.448,922540.48748
2022-11-28,99447043.01255,99447043.01255,921968.68565
2022-11-29,99447043.01232,99447043.01232,920756.57276
2022-11-30,99943781.48783,99943781.48783,962087.7725
2022-12-01,99645737.84422,99645737.84422,904929.80219
2022-12-02,100357576.76024,100357576.76024,1514067.35105
2022-12-03,100421747.6289,100421747.6289,2063363.61807
2022-12-04,100466942.34697,100466942.34697,2078922.25699
2022-12-05,100677440.58852,100677440.58852,2083156.66091
2022-12-06,100627925.00908,100627925.00908,2108610.40917
2022-12-07,100556988.61364,100556988.61364,2253388.96371
2022-12-08,100729466.44097,100729466.44097,2266607.84223
2022-12-09,100619839.87008,100619839.87008,2325629.36538
2022-12-10,100776407.70868,100776407.70868,2441512.86153
2022-12-11,100776525.58898,100776525.58898,2437107.16798
2022-12-12,100814028.40686,100814028.40686,2427929.1669
2022-12-13,100814025.45453,100814025.45453,2419232.43197
2022-12-14,100715657.37445,100715657.37445,2353281.26822
2022-12-15,101085436.52968,101085436.52968,2801126.22491
2022-12-16,101073723.94729,101073723.94729,2896228.67047
2022-12-17,101350829.74773,101350829.74773,971099.77893
2022-12-18,101320802.61099,101320802.61099,891234.49141
2022-12-19,101320668.21826,101320668.21826,894882.28919
2022-12-20,101328642.60679,101328642.60679,978869.87586
2022-12-21,101243930.56345,101243930.56345,961500.78685
2022-12-22,101531298.59012,101531298.59012,1235282.41182
2022-12-23,101430282.1311,101430282.1311,1378581.45842
2022-12-24,101331032.4211,101331032.4211,1408274.14925
2022-12-25,101437588.15567,101437588.15567,1404940.01287
2022-12-26,101538967.01315,101538967.01315,1410208.81674
2022-12-27,101437825.5715,101437825.5715,1520893.53798
2022-12-28,101257384.41656,101257384.41656,1505824.19397
2022-12-29,101326697.35134,101326697.35134,1498909.68034
2022-12-30,100804210.40866,100804210.40866,1554993.95625
2022-12-31,101048150.59512,101048150.59512,1376808.53131
